Variable,Importancia Media,Desviación
Exp_plomo,0.5606161305479042,0.021129981770080367
Muertes_agua,0.3661343330437351,0.01658529619885726
Pesticidas,0.31985902846162334,0.017343988976566103
Precipitaciones,0.1562728172513654,0.010568878476304907
Contaminacion_aire,0.07101355974785208,0.006622403313167421
