Variable,Importancia Media,Desviación
Exp_plomo,0.6476968920613034,0.024155391660980234
Muertes_agua,0.36703422192205143,0.016485814447614263
Pesticidas,0.32958134850537685,0.01946872181924655
Precipitaciones,0.22051470511228918,0.018995465856783158
Contaminacion_aire,0.06363375902148585,0.007637945132991619
