Variable,Importancia Media,Desviación
Exp_plomo,0.9853285834565376,0.041325574600586286
Muertes_agua,0.44056676561712427,0.017559811829364617
Contaminacion_aire,0.1722553224375941,0.011054922203461864
Pesticidas,0.1721504932709335,0.007261970589031399
