País,Contaminacion_aire,Exp_plomo,Muertes_agua,Pepticidas,Precipitaciones
Egypt,3.3692214,1728.5693,1103.032,27.63,2148.5146
Iran,2.912751,716.09827,238.31381,80454.0,836.59937
Iraq,1.9798177,782.5429,277.29852,1288.62,1807.4237
Jordan,1.5307152,406.78122,30.261837,1126.94,2101.9578
Kuwait,0.52327454,219.15132,2.1613564,1250.48,2573.752
Lebanon,2.2116387,203.3838,64.087135,2788.52,2064.7466
Libya,2.9565282,560.9275,36.338287,101.06,2280.6223
Morocco,3.1879318,707.6658,538.28143,342.92,394.29932
Oman,1.8837498,503.91364,14.173906,8233.6,1657.3317
Palestine,2.287698,761.17065,13.204723,7.03,3519.8147
Qatar,2.8359382,186.67668,1.8190325,354.88,2204.6484
Saudi Arabia,3.89739,729.7557,128.44937,1511.0,476.2706
Syria,3.4913855,1029.0352,37.05794,909.0,1354.011
Tunisia,2.480206,570.53033,61.132248,2413.02,1356.915
Turkey,4.702077,292.26926,400.76114,88.6,801.3983
Angola,2.2393265,630.8428,5885.0596,40.0,384.8154
Bangladesh,12.606487,711.75287,23017.13,550.0,2560.112
Bhutan,14.293762,628.9921,55.459145,2201.19,636.6076
India,24.144508,681.47504,338521.16,3083.02,1947.0168
Nepal,32.250168,866.85046,3044.1196,575.0,528.3842
Pakistan,15.422959,835.653,28947.299,1335.53,1043.1213
Burundi,4.0991306,648.69867,3828.74,180.08,2454.5159
Central African Republic,8.370158,1076.022,3359.4648,8436.16,354.30823
Congo,3.8535864,527.71686,745.14606,7898.0,386.78546
Democratic Republic of Congo,5.462971,692.6668,11687.791,5082.0,1377.9583
Equatorial Guinea,2.378285,456.5636,76.465096,1091.99,992.3072
Gabon,1.3408467,427.4083,113.31376,129.93,165.47585
Comoros,0.66932684,465.07855,107.30909,10.55,1319.4166
Djibouti,2.0475955,544.5383,158.13489,10901.82,1665.8271
Eritrea,3.0657523,693.4161,1942.4244,2270.6,573.29517
Ethiopia,2.5562718,573.97235,28203.396,0.88,1509.8052
Kenya,2.470929,366.53195,9012.014,69511.27,1099.5789
Madagascar,2.468034,792.6202,11158.37,326.48,47.898216
Malawi,1.7012776,642.7977,5303.3345,61.32,408.14185
Mauritius,0.0020476624,240.83267,11.99801,3048.45,1594.9893
Mozambique,1.2973617,1022.70807,6627.9214,143767.94,1201.5632
Rwanda,4.1914845,513.43396,1898.7156,7.15,2256.7163
