País,GLM,RF,XG,SVR,KNN,MLP,Parkinson_Predicho_Promedio
Algeria,66.59,62.69,61.04,40.97,40.59,68.18,56.68
Brazil,98.97,90.49,93.06,58.68,57.14,99.51,82.98
Mexico,89.01,83.09,85.4,53.75,52.53,86.11,74.98
Nicaragua,78.18,65.56,70.37,40.42,44.33,68.96,61.3
Panama,116.19,97.9,102.08,72.1,67.21,108.22,93.95
Paraguay,67.58,63.7,62.92,47.78,48.98,66.02,59.5
Bahrain,42.91,41.14,42.08,28.17,26.37,47.57,38.04
Egypt,69.52,57.85,60.27,42.93,42.76,63.99,56.22
Iran,85.39,73.27,68.31,45.26,41.16,81.34,65.79
Iraq,46.99,41.19,44.16,28.73,26.95,36.5,37.42
Jordan,32.86,31.4,29.94,22.67,21.94,40.41,29.87
Kuwait,44.89,44.86,43.73,33.22,32.89,48.42,41.33
Lebanon,102.39,97.72,97.27,73.13,71.74,105.77,91.34
Libya,58.62,47.92,57.81,32.55,36.11,62.94,49.33
Morocco,88.71,75.46,68.59,43.1,44.46,85.23,67.59
Oman,41.82,37.78,38.28,31.7,32.7,45.31,37.93
Palestine,38.6,37.43,37.67,27.33,26.8,38.28,34.35
Qatar,31.99,26.46,27.7,22.7,20.99,31.57,26.9
Saudi Arabia,45.5,39.39,40.3,30.68,30.9,45.33,38.68
Syria,85.25,70.22,74.06,31.37,27.0,70.83,59.79
Tunisia,103.29,89.97,89.29,57.51,54.79,99.71,82.43
Turkey,102.49,93.9,96.57,47.78,58.65,98.24,82.94
Angola,18.81,18.31,18.12,16.58,15.72,18.37,17.65
Bangladesh,68.09,56.56,63.78,34.92,30.45,68.19,53.67
Bhutan,73.51,63.96,65.15,36.47,37.2,71.56,57.98
India,74.97,69.12,68.0,44.22,45.16,108.11,68.26
Nepal,55.26,43.79,53.81,29.75,33.45,67.02,47.18
Pakistan,40.65,38.42,38.52,33.83,33.03,39.57,37.34
Burundi,17.38,17.48,17.65,17.36,17.21,18.67,17.62
Central African Republic,19.08,18.47,18.6,17.28,17.21,19.16,18.3
Congo,29.65,28.42,25.69,23.97,22.85,33.83,27.4
Democratic Republic of Congo,19.99,19.17,19.12,18.13,17.5,20.68,19.1
Equatorial Guinea,21.81,21.15,20.76,19.27,18.41,23.66,20.84
Gabon,42.1,38.56,38.6,34.34,33.41,57.85,40.81
Comoros,34.66,32.9,31.13,25.15,23.97,35.87,30.61
Djibouti,25.34,23.3,21.22,17.23,16.25,25.25,21.43
Eritrea,20.01,19.07,19.07,15.45,14.88,20.29,18.13
Ethiopia,22.09,20.99,20.79,18.01,16.92,24.9,20.62
Kenya,25.59,23.43,22.08,19.15,17.99,24.94,22.19
Madagascar,16.7,16.2,16.44,15.27,14.81,17.08,16.08
Malawi,18.35,18.25,17.78,17.43,16.8,19.62,18.04
Mauritius,103.84,107.74,107.03,65.74,67.42,117.88,94.94
Mozambique,17.53,17.04,17.63,17.16,16.69,17.52,17.26
Rwanda,22.44,21.38,20.8,16.97,15.82,23.89,20.22
Seychelles,112.54,100.56,100.54,79.07,80.42,107.56,96.78
Somalia,11.78,11.57,11.45,11.78,11.32,13.9,11.97
Uganda,18.03,17.24,16.73,15.24,14.68,19.0,16.82
Tanzania,23.08,21.85,21.21,19.5,18.67,23.71,21.34
Botswana,35.13,32.56,31.11,23.98,22.31,35.25,30.05
Lesotho,29.65,28.25,28.57,26.17,25.95,28.08,27.78
Namibia,32.74,30.33,29.75,24.48,24.4,40.78,30.41
South Africa,50.53,42.18,46.42,34.19,33.63,47.85,42.47
Eswatini,27.44,25.2,25.93,20.39,18.81,31.23,24.83
Benin,24.55,23.41,23.71,22.58,22.1,29.48,24.31
Burkina Faso,24.56,23.88,23.89,23.24,23.06,27.88,24.42
Cape Verde,64.7,60.37,62.12,48.92,44.26,63.41,57.3
Cameroon,26.58,24.99,24.82,23.42,22.59,26.66,24.84
Chad,18.86,19.34,18.9,20.24,19.37,18.18,19.15
Cote d'Ivoire,23.5,23.76,23.88,19.21,17.59,25.65,22.27
Gambia,28.67,26.66,27.38,22.88,22.55,28.57,26.12
Ghana,28.51,26.91,25.39,22.69,21.51,27.97,25.5
Guinea,24.91,27.53,27.06,30.69,31.33,35.09,29.43
Guinea-Bissau,20.25,19.45,19.53,19.04,18.91,20.27,19.57
Liberia,20.75,22.44,20.31,25.68,24.23,22.37,22.63
Mali,19.91,19.7,19.72,19.8,19.36,20.53,19.84
Mauritania,32.21,31.03,29.93,28.51,27.47,32.37,30.25
Niger,17.08,16.6,16.58,15.98,15.42,17.19,16.47
Nigeria,25.85,25.7,26.08,24.94,25.19,26.69,25.74
Sao Tome and Principe,36.69,36.1,36.92,32.53,31.43,41.66,35.89
Senegal,33.07,31.65,31.67,26.66,26.67,33.01,30.45
Sierra Leone,23.5,24.18,24.48,24.18,24.01,24.59,24.16
Togo,25.91,22.94,23.78,18.17,17.62,26.26,22.45
Cook Islands,163.3,144.22,131.84,89.25,85.77,161.07,129.24
Greenland,126.35,107.43,109.48,66.89,69.82,137.25,102.87
Sudan,33.16,33.48,33.25,28.34,27.48,34.4,31.69
