País,GLM,RF,XG,SVR,KNN,MLP,CV
Cambodia,49.36,29.24,30.27,32.59,27.13,48.94,27.98
China,355.49,83.08,74.01,181.12,86.62,358.2,71.22
Indonesia,59.91,39.57,35.71,40.15,39.24,59.92,24.22
Laos,40.47,27.65,27.48,29.6,27.02,38.9,19.31
Malaysia,77.0,48.91,37.88,46.79,44.69,78.74,31.62
Myanmar,59.17,31.61,30.04,39.84,32.79,57.77,31.75
Papua New Guinea,33.71,25.9,26.89,25.96,25.34,30.71,12.0
Philippines,48.07,33.04,28.15,35.45,34.76,45.58,20.51
Samoa,60.88,38.89,38.06,46.18,40.41,61.62,22.85
Solomon Islands,38.83,26.34,25.08,30.59,27.8,37.69,18.95
Thailand,137.25,60.45,48.94,79.05,62.68,152.97,48.62
Vanuatu,47.13,29.87,27.69,33.56,30.21,48.24,25.37
Azerbaijan,74.67,50.54,44.49,54.61,48.97,76.21,23.54
Georgia,129.52,103.48,90.71,109.5,102.88,131.95,14.58
Kazakhstan,86.38,54.96,54.67,61.45,55.65,84.7,22.8
Kiribati,42.36,34.16,32.61,34.9,32.49,43.92,13.79
Kyrgyzstan,42.39,41.74,42.82,41.02,41.3,42.75,1.81
Mongolia,39.03,28.19,27.33,30.56,27.6,41.39,19.29
Sri Lanka,103.35,53.72,59.48,70.33,58.47,110.01,32.35
Tajikistan,44.47,37.66,36.88,39.26,37.61,43.99,8.47
East Timor,42.65,21.62,17.55,29.43,23.3,42.6,36.73
Turkmenistan,46.23,29.0,28.11,32.76,28.9,47.32,25.36
Armenia,111.95,71.31,54.62,82.16,62.65,118.75,31.53
Fiji,67.06,37.59,30.52,43.77,38.29,74.21,36.53
Albania,165.98,85.05,66.79,89.52,64.18,166.31,44.58
Czechia,207.7,154.02,156.23,154.11,159.31,215.78,16.62
Hungary,199.93,126.93,152.36,138.83,117.93,202.92,23.45
Montenegro,169.99,108.94,122.98,119.84,116.48,184.93,23.24
North Macedonia,152.03,92.59,80.33,111.48,90.4,156.26,28.83
Bulgaria,230.44,227.39,245.88,219.73,241.49,230.39,4.11
Croatia,215.33,131.86,115.12,170.13,134.25,239.41,29.92
Romania,187.98,110.3,122.9,128.63,112.36,205.71,28.6
Bosnia and Herzegovina,219.2,101.92,86.56,139.57,118.65,226.43,40.4
Serbia,207.21,117.96,114.06,136.33,105.31,192.92,29.94
Belarus,176.66,143.78,145.38,151.45,140.34,185.37,12.1
Estonia,237.92,182.62,172.68,190.78,198.87,239.39,13.96
Latvia,232.34,158.21,149.42,168.3,162.53,237.01,21.27
Poland,204.68,127.1,136.22,149.55,121.37,204.52,24.1
Moldova,130.03,94.22,100.9,102.9,93.41,131.9,16.07
Russia,151.52,110.2,112.48,117.41,109.7,146.36,15.34
Slovakia,157.8,97.74,95.22,118.16,105.36,157.43,23.58
Slovenia,234.18,148.51,173.01,178.86,152.16,231.47,20.3
Andorra,271.26,163.7,181.35,183.06,147.04,252.23,25.09
Australia,142.49,121.53,98.59,116.21,122.92,155.43,15.91
Austria,587.27,258.74,249.06,242.35,244.51,398.85,42.31
Belgium,308.0,230.03,244.27,230.53,229.65,315.73,15.73
Brunei,62.18,30.12,25.56,38.48,32.87,62.77,39.06
Cyprus,247.05,133.4,133.67,169.56,145.59,243.72,29.76
Denmark,314.91,181.96,180.99,188.08,168.23,308.88,30.62
Ireland,279.58,160.82,153.59,167.33,192.19,277.66,28.43
Israel,267.58,186.85,182.7,208.64,187.18,265.73,18.45
Italy,295.32,307.22,297.85,308.68,313.61,301.17,2.31
Japan,174.21,128.8,150.26,125.29,102.66,179.68,20.94
Lithuania,209.0,139.21,128.56,157.23,131.39,213.79,23.7
Luxembourg,271.77,210.96,208.92,218.39,221.89,268.74,12.39
New Zealand,117.78,86.83,81.32,88.35,84.52,20202.25,238.42
South Korea,151.21,36.28,35.47,74.85,56.2,159.52,65.46
Ukraine,175.41,145.71,134.37,152.58,144.31,183.08,12.28
Finland,380.78,210.93,196.58,234.27,183.67,372.58,34.04
France,357.49,202.93,187.01,252.67,216.32,358.42,29.36
Germany,509.92,319.17,276.95,307.48,383.15,600.32,32.2
Greece,366.51,253.74,287.1,254.66,277.58,425.95,22.48
Iceland,293.86,205.29,206.25,211.01,178.05,287.8,20.95
Netherlands,406.59,278.73,280.34,283.54,267.75,7712.98,196.67
Norway,194.86,104.04,99.05,100.14,117.62,208.2,36.67
Portugal,295.57,185.96,159.09,184.05,187.42,288.12,27.31
Spain,390.46,320.93,330.56,336.0,354.29,432.42,11.87
Sweden,288.22,209.26,196.47,209.15,202.89,277.76,17.76
Switzerland,321.06,234.64,227.54,249.24,231.03,332.03,17.92
Antigua and Barbuda,94.45,59.18,54.96,63.67,59.92,97.2,26.57
Argentina,149.5,105.61,92.65,113.1,108.34,144.52,19.18
Bahamas,79.05,42.11,39.21,51.71,43.25,80.47,33.77
Belize,52.0,33.0,30.33,36.08,32.73,49.1,23.85
Canada,410.34,253.85,246.58,268.68,276.48,410.91,25.0
Chile,172.31,67.35,60.91,97.85,68.1,174.06,49.66
Cuba,117.77,72.13,80.74,77.1,60.04,112.11,26.63
United Kingdom,290.6,251.0,250.09,255.11,253.52,299.79,8.38
United States,221.58,142.41,143.61,157.68,150.61,213.24,21.02
Uruguay,202.67,130.1,122.67,149.54,123.9,207.38,25.1
Dominican Republic,64.16,40.24,25.6,42.93,37.31,70.03,36.31
Jamaica,72.98,48.07,47.27,57.21,50.52,79.7,23.32
Saint Vincent and the Grenadines,78.8,38.89,36.98,52.87,41.3,82.8,37.21
Suriname,86.7,36.44,30.7,44.64,36.4,74.93,45.19
Bolivia,121.85,53.21,47.71,82.8,60.05,122.37,41.52
Colombia,103.39,45.89,38.38,66.35,46.92,103.73,43.69
Costa Rica,114.38,50.05,50.34,72.58,56.84,114.65,39.99
Ecuador,133.36,49.74,44.89,80.88,55.43,141.86,51.16
El Salvador,91.38,44.33,42.74,63.63,47.8,91.73,35.99
Guatemala,54.82,29.13,24.26,34.79,28.22,51.5,34.79
Haiti,34.2,25.69,25.2,28.15,26.32,32.97,13.54
Honduras,64.05,43.52,32.13,45.94,48.15,61.04,24.01
Peru,155.35,60.8,58.47,96.46,62.23,155.4,47.39
Trinidad and Tobago,90.41,41.6,43.92,60.58,49.66,92.13,36.21
Algeria,66.13,34.4,31.56,43.52,38.69,67.85,34.01
Brazil,98.75,48.28,50.56,65.72,53.27,99.47,34.37
Mexico,85.7,34.34,33.24,58.6,43.72,85.93,42.44
Nicaragua,76.76,34.67,34.27,51.8,39.3,69.92,36.13
Panama,120.42,49.73,50.72,75.9,59.36,113.27,40.17
Paraguay,65.2,43.85,42.62,51.9,43.85,67.42,21.42
Bahrain,46.7,24.36,21.01,29.95,23.23,49.35,38.42
Egypt,63.73,34.47,35.51,43.08,36.43,64.26,30.43
Iran,83.52,34.16,28.48,47.31,39.83,82.98,46.4
Iraq,46.19,24.31,24.4,32.32,24.45,46.12,32.36
Jordan,35.04,18.92,18.37,24.32,18.05,34.95,32.55
Kuwait,44.65,31.53,31.42,32.48,29.89,48.37,21.9
Lebanon,103.03,49.08,45.42,69.62,59.72,106.8,36.93
Libya,54.94,39.48,30.49,39.82,40.23,63.05,26.76
Morocco,84.43,49.98,65.41,52.78,44.79,84.73,27.56
Oman,35.22,28.45,26.46,32.88,28.86,49.3,24.94
Palestine,38.9,27.06,24.67,30.56,26.09,38.57,20.4
Qatar,33.65,23.33,20.63,23.9,22.36,31.31,20.48
Saudi Arabia,45.61,26.02,25.3,30.35,26.79,44.94,28.76
Syria,89.17,24.44,12.8,33.86,23.92,75.09,72.19
Tunisia,99.01,37.0,37.53,61.57,41.48,100.31,47.64
Turkey,102.86,38.73,34.5,57.66,40.08,102.53,50.95
Angola,18.68,15.91,15.94,16.83,15.81,18.65,8.04
Bangladesh,73.9,32.71,26.62,40.2,30.97,68.5,45.0
Bhutan,71.35,30.72,23.23,42.05,29.29,71.54,48.31
India,75.2,49.51,51.62,49.21,43.86,77.85,25.39
Nepal,57.52,36.17,39.91,33.87,35.37,45.1,21.54
Pakistan,40.0,33.52,31.9,34.38,32.97,39.54,9.87
Burundi,17.85,17.48,16.68,17.31,17.43,25.11,17.11
Central African Republic,17.58,16.62,16.22,17.32,16.71,19.32,6.41
Congo,31.38,24.35,22.97,24.88,23.23,38.53,22.5
Democratic Republic of Congo,20.41,18.15,16.96,18.2,17.99,26.69,18.19
Equatorial Guinea,22.96,20.11,20.66,19.56,19.27,23.85,8.98
Gabon,41.72,34.86,37.55,35.01,34.46,42.04,9.27
Comoros,34.35,21.79,19.87,26.34,20.75,35.77,26.53
Djibouti,25.04,16.73,20.47,17.62,15.26,25.53,21.67
Eritrea,20.48,14.08,14.92,16.0,14.39,20.04,17.26
Ethiopia,22.44,17.12,16.96,18.24,16.71,25.47,18.61
Kenya,25.72,20.26,20.97,19.87,18.61,25.12,13.53
Madagascar,13.69,15.94,16.08,15.37,15.51,20.28,13.62
Malawi,20.11,17.05,17.15,17.53,16.94,19.55,7.76
Mauritius,114.96,57.94,57.53,72.02,60.8,111.13,33.98
Mozambique,17.67,16.7,16.7,17.15,16.28,17.14,2.85
Rwanda,23.27,17.01,16.01,17.89,16.66,23.66,18.08
Seychelles,114.65,79.72,73.72,84.1,74.22,117.54,22.16
Somalia,12.78,11.71,12.0,11.78,11.65,13.15,5.19
Uganda,18.4,16.49,16.82,15.73,16.03,19.5,8.6
Tanzania,23.02,18.21,17.72,19.82,18.23,23.79,13.13
Botswana,33.85,22.18,20.54,25.68,22.11,41.63,30.2
Lesotho,30.65,26.42,24.4,26.22,26.47,29.3,8.41
Namibia,33.49,21.89,21.48,24.62,22.09,43.52,32.0
South Africa,47.92,35.53,33.58,36.8,36.55,48.33,16.49
Eswatini,28.56,18.72,18.26,20.6,18.2,33.49,28.25
Benin,23.01,22.52,22.48,22.61,22.61,24.38,3.19
Burkina Faso,25.25,23.31,22.94,23.24,23.22,29.95,11.07
Cape Verde,62.74,42.61,41.62,50.58,41.6,64.95,21.23
Cameroon,26.66,22.42,23.11,23.48,22.18,26.32,8.18
Chad,18.58,18.52,18.42,20.51,18.52,18.01,4.7
Cote d'Ivoire,24.89,19.93,19.88,20.09,19.3,25.38,12.85
