País,Variable_Independiente,Valor_Variable,Parkinson_Predicho
Mongolia,Precipitaciones,1602.1592,
Mongolia,Muertes_agua_2,261.59455599322496,
Mongolia,Exp_plomo_2,177574.20113189158,
Mongolia,Pepticidas_log,8.672338804704442,
Sri Lanka,Contaminacion_aire,3.6152382,
Sri Lanka,Exp_plomo,184.13957,
Sri Lanka,Muertes_agua,536.10913,
Sri Lanka,Pepticidas,20.0,
Sri Lanka,Precipitaciones,1269.9395,
Sri Lanka,Muertes_agua_2,287412.99926935695,
Sri Lanka,Exp_plomo_2,33907.381239784896,
Sri Lanka,Pepticidas_log,8.483040573743368,
Tajikistan,Contaminacion_aire,3.8829222,
Tajikistan,Exp_plomo,559.98724,
Tajikistan,Muertes_agua,764.55536,
Tajikistan,Pepticidas,730.77,
Tajikistan,Precipitaciones,624.36426,
Tajikistan,Muertes_agua_2,584544.8985047295,
Tajikistan,Exp_plomo_2,313585.7089628177,
Tajikistan,Pepticidas_log,8.863563423716348,
East Timor,Contaminacion_aire,1.7795753,
East Timor,Exp_plomo,796.0813,
East Timor,Muertes_agua,109.64855,
East Timor,Pepticidas,93516.78,
East Timor,Precipitaciones,652.16895,
East Timor,Muertes_agua_2,12022.8045171025,
East Timor,Exp_plomo_2,633745.4362096901,
East Timor,Pepticidas_log,8.898720735146707,
Turkmenistan,Contaminacion_aire,1.1051812,
Turkmenistan,Exp_plomo,420.2075,
Turkmenistan,Muertes_agua,27.763254,
Turkmenistan,Pepticidas,1.73,
Turkmenistan,Precipitaciones,3257.1455,
Turkmenistan,Muertes_agua_2,770.798272668516,
Turkmenistan,Exp_plomo_2,176574.34305624999,
Turkmenistan,Pepticidas_log,9.011379547184973,
Armenia,Contaminacion_aire,2.264501,
Armenia,Exp_plomo,266.62408,
Armenia,Muertes_agua,2.0748687,
Armenia,Pepticidas,148.21,
Armenia,Precipitaciones,1057.9758,
Armenia,Muertes_agua_2,4.305080122239691,
Armenia,Exp_plomo_2,71088.4000358464,
Armenia,Pepticidas_log,9.274422539000053,
Fiji,Contaminacion_aire,0.38150686,
Fiji,Exp_plomo,224.60007,
Fiji,Muertes_agua,86.012695,
Fiji,Pepticidas,506.82,
Fiji,Precipitaciones,1151.4725,
Fiji,Muertes_agua_2,7398.183701163024,
Fiji,Exp_plomo_2,50445.19144400489,
Fiji,Pepticidas_log,9.200972631384348,
Albania,Contaminacion_aire,0.5933416,
Albania,Exp_plomo,298.68884,
Albania,Muertes_agua,7.837733,
Albania,Pepticidas,433.3,
Albania,Precipitaciones,1288.2554,
Albania,Muertes_agua_2,61.430058579289,
Albania,Exp_plomo_2,89215.02314054561,
Albania,Pepticidas_log,9.200972631384348,
Czechia,Contaminacion_aire,1.6327243,
Czechia,Exp_plomo,105.90344,
Czechia,Muertes_agua,100.004616,
Czechia,Pepticidas,3174.0,
Czechia,Precipitaciones,643.9272,
Czechia,Muertes_agua_2,10000.923221307456,
Czechia,Exp_plomo_2,11215.5386038336,
Czechia,Pepticidas_log,10.294481794215836,
Hungary,Contaminacion_aire,2.1753864,
Hungary,Exp_plomo,206.86623,
Hungary,Muertes_agua,73.84984,
Hungary,Pepticidas,5922.88,
Hungary,Precipitaciones,484.06467,
Hungary,Muertes_agua_2,5453.7988680256,
Hungary,Exp_plomo_2,42793.6371144129,
Hungary,Pepticidas_log,10.291416463054876,
Montenegro,Contaminacion_aire,0.62196225,
Montenegro,Exp_plomo,254.66252,
Montenegro,Muertes_agua,0.1588547,
Montenegro,Pepticidas,576.76,
Montenegro,Precipitaciones,1456.8025,
Montenegro,Muertes_agua_2,0.025234815712089995,
Montenegro,Exp_plomo_2,64852.9990927504,
Montenegro,Pepticidas_log,10.288341706740168,
North Macedonia,Contaminacion_aire,0.6995794,
North Macedonia,Exp_plomo,403.33508,
North Macedonia,Muertes_agua,8.967159,
North Macedonia,Pepticidas,29356.31,
North Macedonia,Precipitaciones,775.9332,
North Macedonia,Muertes_agua_2,80.40994053128101,
North Macedonia,Exp_plomo_2,162679.1867586064,
North Macedonia,Pepticidas_log,10.285257467132757,
Bulgaria,Contaminacion_aire,0.877371,
Bulgaria,Exp_plomo,494.3837,
