Año,País,Nitratos
2002,Denmark,26.701994
2003,Denmark,26.874868
2004,Denmark,30.588234
2005,Denmark,26.362957
2006,Denmark,5.414094
2007,Denmark,5.3449464
2008,Denmark,5.9796786
2009,Denmark,7.2324643
2010,Denmark,7.6931357
2011,Denmark,8.35696
2012,Denmark,8.187787
2013,Denmark,7.9277844
2014,Denmark,5.899918
2015,Denmark,5.187724
2016,Denmark,20.27489
2017,Denmark,20.305695
2018,Denmark,20.997086
2019,Denmark,20.861397
2020,Denmark,20.833559
2021,Denmark,20.895536
1992,Estonia,20.332825
1993,Estonia,23.892973
1994,Estonia,23.264898
1995,Estonia,23.436901
1996,Estonia,21.174324
1997,Estonia,21.104145
1998,Estonia,20.964695
1999,Estonia,20.711847
2000,Estonia,21.389093
2001,Estonia,21.053389
2002,Estonia,21.150293
2003,Estonia,20.984608
2004,Estonia,20.844685
2005,Estonia,20.894253
2006,Estonia,20.591858
2007,Estonia,20.991783
2008,Estonia,21.29869
2009,Estonia,21.111246
2010,Estonia,20.521397
2011,Estonia,20.331215
2012,Estonia,20.47221
2013,Estonia,20.750708
2014,Estonia,21.171936
2015,Estonia,21.39475
2016,Estonia,21.498537
2017,Estonia,20.492918
2018,Estonia,21.242485
2019,Estonia,22.227194
2020,Estonia,21.603651
2021,Estonia,23.710936
1992,Europe (EEA),23.72709
1993,Europe (EEA),22.507864
1994,Europe (EEA),23.10228
1995,Europe (EEA),23.010178
1996,Europe (EEA),23.896599
1997,Europe (EEA),23.312347
1998,Europe (EEA),23.067987
1999,Europe (EEA),23.136389
2000,Europe (EEA),23.236061
2001,Europe (EEA),22.803974
2002,Europe (EEA),24.998518
2003,Europe (EEA),24.749971
2004,Europe (EEA),24.769505
2005,Europe (EEA),24.107864
2006,Europe (EEA),23.767794
2007,Europe (EEA),23.850443
2008,Europe (EEA),21.666327
2009,Europe (EEA),26.790163
2010,Europe (EEA),26.39058
2011,Europe (EEA),27.077406
2012,Europe (EEA),26.49206
2013,Europe (EEA),26.566904
2014,Europe (EEA),26.808475
2015,Europe (EEA),25.793953
2016,Europe (EEA),15.5
2017,Europe (EEA),15.5
2018,Europe (EEA),15.5
2019,Europe (EEA),15.621914
2020,Europe (EEA),15.621914
2021,Europe (EEA),20.666777
1992,Finland,24.246237
1993,Finland,21.957733
1994,Finland,19.524004
1995,Finland,16.087751
1996,Finland,143.51299
1997,Finland,142.19975
1998,Finland,136.33487
1999,Finland,151.88933
2000,Finland,151.45474
2001,Finland,112.72948
2002,Finland,109.21677
2003,Finland,113.118835
2004,Finland,114.79152
2005,Finland,115.64768
2006,Finland,0.04
2007,Finland,0.04
2008,Finland,0.625
2009,Finland,0.58144444
2010,Finland,0.26941666
2011,Finland,0.2304
2012,Finland,0.21
2013,Finland,0.1925
2014,Finland,0.125
2015,Finland,0.185
2016,Finland,0.2035
2017,Finland,0.186
2018,Finland,0.261
2019,Finland,0.243
2020,Finland,0.168
2021,Finland,0.128
1992,France,0.204
1993,France,0.24
1994,France,0.24
1995,France,22.432745
1996,France,22.525867
1997,France,17.461365
1998,France,17.386099
1999,France,18.786207
2000,France,18.238028
2001,France,18.122663
2002,France,17.10917
2003,France,16.742647
2004,France,16.59946
2005,France,16.768204
2006,France,16.703117
2007,France,17.263407
2008,France,17.06566
2009,France,17.25393
2010,France,17.24971
2011,France,14.254369
2012,France,11.006499
2013,France,13.84763
2014,France,13.7193365
2015,France,12.326148
2016,France,12.331823
2017,France,14.816175
2018,France,12.468
2019,France,11.759315
2020,France,11.623156
2021,France,12.464654
1992,Germany,13.381149
1993,Germany,12.936028
1994,Germany,12.132331
1995,Germany,27.854284
1996,Germany,27.967999
1997,Germany,27.65407
1998,Germany,18.605303
1999,Germany,15.558049
2000,Germany,17.066042
2001,Germany,19.412405
2002,Germany,19.537039
2003,Germany,19.699417
2004,Germany,18.789303
2005,Germany,18.837534
2006,Germany,20.959976
2007,Germany,21.10187
2008,Germany,22.006645
2009,Germany,26.574116
2010,Germany,27.257057
2011,Germany,26.268023
2012,Germany,20.78377
2013,Germany,19.888428
2014,Germany,20.042013
2015,Germany,38.242413
2016,Germany,19.915644
2017,Germany,2.877
2018,Germany,2.877
2019,Germany,4.8517776
2020,Germany,27.429167
2021,Germany,27.429167
1992,Greece,28.045454
1993,Greece,0.1482067
1994,Greece,0.7004108
1995,Greece,0.6830782
1996,Greece,1.4054699
1997,Greece,1.7796981
1998,Greece,1.8319479
1999,Greece,1.5566825
2000,Greece,1.3327156
2001,Greece,3.8888996
2002,Greece,4.941977
2003,Greece,5.531684
2004,Greece,7.102394
2005,Greece,8.445264
2006,Greece,3.3659022
2007,Greece,3.2546856
2008,Greece,4.499716
2009,Greece,4.192632
2010,Greece,4.2160225
2011,Greece,4.2996035
2012,Greece,3.2837071
2013,Greece,2.5464664
2014,Greece,2.6133814
2015,Greece,2.7619426
2016,Greece,4.6125
2017,Greece,5.9104166
2018,Greece,4.86875
2019,Greece,5.313542
2020,Greece,5.255625
2021,Greece,5.1966667
1992,Iceland,4.915625
1993,Iceland,5.748958
1994,Iceland,5.425
1995,Iceland,4.984375
1996,Iceland,4.98125
1997,Iceland,4.950625
1998,Iceland,5.209375
1999,Iceland,5.11875
2000,Iceland,5.2435417
2001,Iceland,4.8670835
2002,Iceland,4.60625
2003,Iceland,4.509375
2004,Iceland,4.60625
2005,Iceland,4.60625
2006,Iceland,10.743
2007,Iceland,10.0297985
2008,Iceland,9.905377
2009,Iceland,6.5651064
2010,Iceland,4.8608894
2011,Iceland,5.2519126
2012,Iceland,5.897245
2013,Iceland,3.002964
2014,Iceland,3.1164973
2015,Iceland,3.2697954
2016,Iceland,3.7927525
2017,Iceland,4.273996
2018,Iceland,4.72672
2019,Iceland,4.639593
2020,Iceland,5.769
2021,Iceland,6.5443144
1992,Ireland,5.305242
1993,Ireland,29.11
1994,Ireland,29.11
1995,Ireland,30.09
1996,Ireland,29.373333
1997,Ireland,29.373333
1998,Ireland,59.796104
1999,Ireland,59.796104
2000,Ireland,59.796104
2001,Ireland,21.992188
2002,Ireland,21.992188
2003,Ireland,13.376875
2004,Ireland,14.955953
2005,Ireland,22.870556
