País,GLM,RF,XG,SVR,KNN,MLP,Parkinson_Predicho_Promedio
Trinidad and Tobago,89.64,47.28,53.29,56.89,39.67,91.27,63.01
Algeria,65.88,30.82,31.87,44.19,31.76,67.85,45.4
Brazil,100.89,61.03,45.86,62.89,40.84,98.12,68.27
Mexico,85.6,37.26,34.7,55.1,34.91,86.16,55.62
Nicaragua,75.11,39.47,43.56,48.59,35.36,74.11,52.7
Panama,124.85,50.61,49.98,72.15,49.73,112.36,76.61
Paraguay,77.75,45.42,46.14,48.83,38.57,68.11,54.14
Venezuela,72.82,39.05,37.57,53.76,38.48,88.12,54.97
Bahrain,44.62,21.97,22.89,27.92,21.51,45.69,30.77
Egypt,65.39,33.4,33.22,43.39,34.05,64.57,45.67
Iran,84.33,25.79,26.43,46.74,26.69,82.13,48.68
Iraq,47.1,24.56,24.31,31.09,24.17,46.06,32.88
Jordan,35.15,17.17,17.31,23.24,17.6,36.4,24.48
Kuwait,45.26,31.39,29.48,32.96,32.64,48.62,36.72
Lebanon,100.8,46.87,53.59,67.68,45.55,132.97,74.58
Libya,64.67,29.74,32.6,37.67,29.54,64.72,43.16
Morocco,86.53,46.01,58.83,47.84,36.69,82.02,59.65
Oman,39.59,26.32,24.84,31.58,26.39,46.63,32.56
Palestine,38.69,27.49,26.28,28.86,26.6,38.38,31.05
Qatar,31.3,24.83,23.33,23.36,21.24,28.11,25.36
Saudi Arabia,44.25,31.19,26.93,31.52,25.59,44.16,33.94
Syria,103.5,24.63,23.45,32.13,22.27,78.36,47.39
Tunisia,95.39,52.27,46.7,57.89,37.31,102.04,65.27
Turkey,98.79,51.62,47.4,57.03,35.4,122.75,68.83
Yemen,25.24,17.18,19.04,20.2,17.83,27.33,21.14
Angola,18.78,15.85,15.95,16.73,15.93,18.65,16.98
Bangladesh,71.83,33.17,32.24,35.8,34.76,69.32,46.19
Bhutan,70.07,23.37,28.57,39.92,25.39,72.21,43.26
India,76.01,44.62,49.05,46.92,32.11,75.3,54.0
Nepal,66.32,37.17,39.64,35.29,33.96,59.42,45.3
Pakistan,40.15,32.18,32.81,34.18,32.08,39.82,35.2
Burundi,17.42,18.58,17.96,17.27,18.45,25.65,19.22
Central African Republic,16.21,16.63,16.95,17.29,17.74,37.25,20.35
Congo,31.32,23.96,23.34,24.38,22.93,31.02,26.16
Democratic Republic of Congo,20.55,17.46,17.68,18.19,17.7,20.5,18.68
Equatorial Guinea,21.92,20.44,19.63,19.4,19.11,29.86,21.73
Gabon,41.64,35.36,36.03,34.85,34.34,41.51,37.29
Comoros,35.45,19.56,21.32,25.93,19.68,36.16,26.35
Djibouti,25.25,13.83,16.88,17.02,12.97,25.43,18.56
Eritrea,20.85,13.98,14.45,15.71,14.66,20.1,16.62
Ethiopia,23.07,17.29,16.9,18.18,16.53,27.4,19.9
Kenya,24.11,20.66,20.58,19.27,18.56,23.11,21.05
Madagascar,17.57,15.6,15.26,15.34,14.92,23.49,17.03
Malawi,19.85,17.4,17.01,17.49,16.9,19.87,18.09
Mauritius,108.93,57.3,54.49,66.93,53.43,123.49,77.43
Mozambique,24.0,16.6,16.83,17.03,16.33,18.78,18.26
Rwanda,22.12,17.45,17.39,17.65,17.76,23.97,19.39
Seychelles,113.44,70.53,73.02,80.93,72.15,125.49,89.26
Somalia,13.64,11.69,11.68,11.78,11.74,13.04,12.26
Uganda,18.91,17.12,16.38,15.57,15.97,23.21,17.86
Tanzania,21.55,17.94,18.6,19.43,17.68,23.74,19.82
Zambia,19.85,16.88,16.02,16.63,15.73,27.31,18.74
Botswana,41.91,21.87,20.74,25.17,20.37,37.62,27.95
Lesotho,31.62,25.54,25.78,26.36,26.46,28.75,27.42
Namibia,33.83,22.28,22.63,24.87,22.77,34.51,26.82
South Africa,47.16,37.32,37.72,35.63,35.68,48.36,40.31
Eswatini,28.11,18.67,19.23,20.78,18.96,36.75,23.75
Zimbabwe,21.65,21.75,21.75,22.64,21.73,21.42,21.82
Benin,28.95,22.85,22.56,22.59,22.76,25.6,24.22
