País,Contaminacion_aire,Exp_plomo,Muertes_agua,Pesticidas,Precipitaciones
Panama,0.5914607,209.45068,72.063995,979.97,3312.5808
Paraguay,1.3607289,287.97458,64.88584,25086.22,1007.79236
Venezuela,0.7423039,479.30606,683.9297,3928.0,2249.8242
Bahrain,7.2438536,338.1105,2.781247,30.24,15.219688
Egypt,3.3692214,1728.5693,1103.032,10545.47,10.798695
Iran,2.912751,716.09827,238.31381,5855.93,171.44714
Iraq,1.9798177,782.5429,277.29852,324.08,92.53169
Jordan,1.5307152,406.78122,30.261837,401.34,48.27209
Kuwait,0.52327454,219.15132,2.1613564,1410.99,51.37932
Lebanon,2.2116387,203.3838,64.087135,1816.0,547.7774
Libya,2.9565282,560.9275,36.338287,1721.37,10.937752
Morocco,3.1879318,707.6658,538.28143,13697.0,229.52098
Oman,1.8837498,503.91364,14.173906,284.25,28.023525
Palestine,2.287698,761.17065,13.204723,1348.14,239.79932
Qatar,2.8359382,186.67668,1.8190325,1152.85,10.249409
Saudi Arabia,3.89739,729.7557,128.44937,7255.65,34.70227
Syria,3.4913855,1029.0352,37.05794,1897.26,123.44877
Tunisia,2.480206,570.53033,61.132248,3299.07,129.66103
Turkey,4.702077,292.26926,400.76114,52875.64,651.0258
Yemen,3.6577792,1736.2506,1172.5994,1504.08,144.84229
Angola,2.2393265,630.8428,5885.0596,40.0,972.6797
Bangladesh,12.606487,711.75287,23017.13,15506.47,1985.977
Bhutan,14.293762,628.9921,55.459145,173.87,3223.0347
India,24.144508,681.47504,338521.16,40093.69,1241.8716
Nepal,32.250168,866.85046,3044.1196,783.14,2583.3313
Pakistan,15.422959,835.653,28947.299,26702.0,289.48352
Burundi,4.0991306,648.69867,3828.74,50.26,1902.2561
Central African Republic,8.370158,1076.022,3359.4648,203.89,962.16376
Congo,3.8535864,527.71686,745.14606,831.39,1447.9354
Democratic Republic of Congo,5.462971,692.6668,11687.791,952.85,1373.9222
Equatorial Guinea,2.378285,456.5636,76.465096,78.25,2979.689
Gabon,1.3408467,427.4083,113.31376,1130.41,2158.9998
Comoros,0.66932684,465.07855,107.30909,37.41,1175.6948
Djibouti,2.0475955,544.5383,158.13489,18.41,187.95984
Eritrea,3.0657523,693.4161,1942.4244,27.63,223.78188
Ethiopia,2.5562718,573.97235,28203.396,4128.1,822.3942
Kenya,2.470929,366.53195,9012.014,5464.5,494.3296
Madagascar,2.468034,792.6202,11158.37,701.11,1137.4299
Malawi,1.7012776,642.7977,5303.3345,1420.24,1277.8713
Mauritius,0.0020476624,240.83267,11.99801,705.3,959.35974
Mozambique,1.2973617,1022.70807,6627.9214,2932.57,828.876
Rwanda,4.1914845,513.43396,1898.7156,2027.03,1421.5497
Seychelles,0.5623927,225.05032,2.5156372,121.21,1538.9386
Somalia,2.6376116,1196.0887,12943.958,746.83,162.076
Uganda,2.6843226,476.45813,6584.1147,6015.66,1248.4315
Tanzania,1.3216771,388.64062,13097.002,1.0,902.3797
Zambia,2.3767135,681.92993,3561.2278,4196.64,1050.0146
Botswana,2.4445958,493.78125,475.11423,1386.49,612.2657
Lesotho,5.375629,1043.5192,1006.8008,239.53,1227.0725
Namibia,4.249396,550.30804,542.85254,1163.02,438.54782
South Africa,2.0596907,331.90683,9139.857,42620.17,627.26984
Eswatini,3.3228204,746.60596,277.45337,1344.6,1018.4811
Zimbabwe,2.1103144,709.6539,3834.5771,2185.07,788.9817
Benin,3.5340676,480.8534,3195.6445,5048.59,848.2647
Burkina Faso,2.0778573,838.266,8883.928,3037.82,474.56122
Cape Verde,1.0140328,374.06363,34.1964,5.0,142.82065
Cameroon,3.329984,680.20734,5482.964,9905.76,1606.4899
Chad,3.358661,994.483,20310.44,50.31,204.6311
Cote d'Ivoire,2.4155564,619.327,4296.479,22.87,1263.7095
Gambia,2.725313,807.5773,359.5643,261.45,743.11774
Ghana,1.8392293,456.96262,4317.2427,9689.5,1057.191
Guinea,2.9154692,814.5802,3264.181,110.5,1620.3524
Guinea-Bissau,3.2800007,1048.2961,440.0324,82.0,1273.9484
Liberia,2.1070154,748.7032,1306.7832,1019.11,2553.5044
Mali,4.316673,703.67,6532.8403,3.75,189.6882
Mauritania,1.3710803,436.50876,525.8403,420.98,33.910088
Niger,3.2814448,811.7352,12630.462,34.79,53.871117
Nigeria,2.7397451,351.1755,98102.15,57638.02,888.83246
Sao Tome and Principe,4.415653,480.3394,10.550467,24.65,1550.5171
Senegal,2.158583,525.7525,1924.2212,576.08,462.9676
Sierra Leone,2.022849,681.09,2544.8188,360.95,2654.2778
Togo,4.0861135,629.9448,2289.433,1425.0,1074.5521
Cook Islands,0.58814925,131.94354,0.36435965,14.93,1881.7396
Greenland,1.5601676,106.91559,0.048418853,8.61,475.92148
Sudan,2.822252,1209.9124,1413.7561,4082.53,134.85393
