Parkinson,Contaminacion_aire,Exp_plomo,Muertes_agua,Pesticidas,Precipitaciones
26.466452,2.7647884,1316.0442,4241.8623,25.19,2041.3944
26.515224,2.9867513,1305.5754,4087.8076,14.79,2083.2861
26.587341,3.716671,1296.8927,3897.2842,4.38,2026.592
26.657393,3.7073157,1288.2931,3715.145,0.66,1578.5013
26.72375,2.9301028,1274.0674,3512.9084,0.97,1924.377
26.792753,1.7902802,1253.4204,3315.9067,1.28,2051.5583
26.79715,1.7866923,1242.7467,3007.3826,1.79,2039.2495
26.826283,2.307212,1211.8435,2774.2559,2.3,2228.4624
26.906763,3.5642018,1191.3531,2516.011,2.81,1742.3584
27.061966,3.7854671,1169.2393,2298.613,3.31,1861.3575
27.36545,3.4054666,1149.0934,2095.5579,3.82,1985.8981
27.830812,2.8637443,1126.5211,1897.1671,4.33,1914.7982
28.437344,3.146086,1101.8353,1703.5426,0.44,1915.6158
29.099823,3.3408802,1079.5112,1598.9005,0.07,2099.545
29.774658,3.2256722,1053.7872,1446.1034,25.67,1886.3556
30.441725,3.854937,1024.085,1310.3242,1.83,1908.2947
31.078142,4.5743566,993.9014,1184.2286,43.8,2152.1133
31.793522,5.0363083,973.7493,1098.6268,43.53,1868.653
32.544056,4.6840515,963.01874,1013.8044,125.89,2055.029
33.28728,4.0943413,948.927,930.232,3.0,1854.0664
34.085094,4.29418,936.0204,864.6857,50.37,1876.2891
34.862366,3.632241,923.5625,798.7962,97.74,1900.7954
35.720078,3.5225546,909.0186,736.00757,145.1,2114.555
36.613396,4.0509863,894.1383,693.49646,187.31,2265.8806
37.500477,4.081207,880.2692,653.84564,187.31,1590.5499
39.405903,4.1264,866.9517,597.88763,187.31,1737.3104
40.35691,4.1519833,852.68396,571.4787,187.31,1848.1522
32.92164,1.0283118,414.99908,596.16266,23818.2,2517.9956
33.074394,0.87760395,404.75372,550.5953,23887.53,2893.0845
33.16026,0.9865626,401.83377,560.40845,24701.08,2505.2256
33.260418,1.134504,401.69504,552.9143,26701.6,2875.287
33.371483,1.2159214,398.112,523.6304,26776.03,2811.4976
33.452854,1.1330174,413.09412,526.82794,27591.49,3179.8052
33.69965,1.5717134,406.8292,482.6546,28062.83,3094.186
33.984894,1.918007,406.31213,467.09036,28601.07,2519.9407
34.40158,2.1832724,405.46362,448.7169,27143.54,2782.5146
34.83557,1.4988177,443.9365,432.57724,29260.62,3120.2715
35.29297,1.1315686,411.12686,392.13602,30205.55,2963.9946
36.12633,1.1030812,398.9264,371.78815,30978.86,2989.4102
37.073433,1.0574609,391.242,352.65002,31620.88,2321.6917
38.169086,1.5753765,397.33682,337.05707,34047.02,2589.8374
39.339672,1.7815682,389.00345,343.1314,36017.35,2361.7563
40.499752,2.146927,378.61462,355.68692,37579.43,2476.1064
41.96203,1.8632778,367.13135,363.3905,39407.94,2944.8535
43.55034,1.5225623,359.7866,374.67343,46869.81,3280.7231
45.324257,1.1550635,364.11176,389.10864,54823.37,3518.5122
47.149513,0.889633,365.21732,400.7761,52465.65,2922.3713
48.840588,1.08346,360.1958,403.3572,60196.29,3116.2285
50.83479,1.3473033,349.23636,415.72565,41563.62,3134.2332
52.960537,1.5838493,332.31705,420.4826,49810.48,3169.1277
55.386528,1.7701384,324.05865,425.61972,61445.6,3105.323
57.910053,1.9329093,321.94965,440.44986,49199.43,2850.7173
60.137627,1.8879019,331.63437,460.06174,63307.64,2687.2253
62.478493,1.372596,325.3273,471.49762,67329.5,2734.0088
64.62519,0.8426958,322.53094,491.56723,50762.5,3257.1455
66.904434,1.7439886,317.5519,499.0594,44114.0,2909.1562
69.28924,1.8528577,310.1206,511.16586,47805.0,2523.0012
72.75403,1.677629,279.7523,463.2117,36076.9,3143.626
75.38139,2.090159,301.38852,532.3118,45671.0,3160.4644
27.827261,5.1452107,1073.2474,28303.3,209.08,2542.5828
28.330503,5.8578973,1082.6647,27332.744,114.0,2645.0715
28.89265,6.386992,1087.3197,25947.084,151.18,2220.2087
29.50749,6.787681,1090.0975,24450.836,160.33,2354.771
30.17822,6.817379,1089.8822,22801.326,190.0,2519.2087
30.830313,6.8124933,1088.2563,21133.555,264.76,2424.7822
31.612213,6.8780403,1084.7726,19661.268,137.24,2498.323
32.532356,6.952255,1079.4305,18277.572,145.54,2309.1792
33.500225,7.1591516,1071.7537,16907.086,282.88,2156.4456
34.44076,6.93326,1061.8737,15547.52,420.21,2510.8853
35.170593,6.0783625,1051.834,14251.477,557.55,2452.3535
35.830845,5.51718,1038.8854,12647.378,694.89,2337.3142
36.499226,5.863599,1025.0376,11259.284,949.06,2357.806
37.17473,6.77803,1009.95886,10038.005,858.94,2256.7163
37.886063,7.0148544,998.4377,9568.459,1042.39,2346.6582
38.520176,6.659391,975.07153,8975.809,1448.85,2198.522
39.24258,7.473476,953.23456,8296.933,3872.16,2311.946
40.03222,8.571257,923.6933,7632.6924,3329.67,2550.5098
40.713394,8.65946,896.76074,7079.332,2210.38,2555.3596
41.47917,6.901109,872.8753,6568.5103,1091.08,2281.6987
42.383686,6.901174,844.69073,6249.7944,3340.09,2263.3123
43.575546,8.299855,818.58563,6000.1226,4642.42,2526.9905
45.10036,9.587821,788.3504,5715.2935,3044.78,2352.5215
46.80643,10.057101,768.8715,5510.0703,2898.2,2340.0933
48.560284,8.59063,746.63477,5247.6753,5417.8,2038.5673
50.100872,7.7564173,729.958,5034.8154,7690.63,2321.96
51.740303,6.611694,714.6579,4845.2227,12092.0,2280.7546
53.505543,6.280864,698.4671,4641.7163,17274.0,2378.7583
55.2657,7.678433,684.84094,4424.429,15326.0,2449.7034
56.91658,7.677063,673.6569,4247.0684,17337.49,2049.4763
57.930202,7.683601,664.9097,3976.2527,11748.89,2084.7024
59.02288,7.745971,657.0027,3801.7,11748.89,2067.3928
23.467379,0.16600674,342.85712,1958.2521,800.54,3859.7131
23.534184,0.17295583,347.1629,1951.7617,784.21,3583.054
23.686508,0.17858244,347.56967,1928.6631,759.21,3496.3691
23.830215,0.17714685,347.515,1888.0339,733.49,3390.0254
23.952885,0.14843602,346.26282,1837.6212,711.91,3625.2246
24.043951,0.14014554,346.51166,1796.9218,686.83,4126.8667
23.984276,0.36370552,349.37186,1782.9331,613.56,3816.1294
24.09828,0.34210244,348.43973,1757.2864,492.12,2787.8438
24.213818,0.30760452,348.90213,1806.7633,364.83,4028.5552
24.320831,0.09813518,349.47888,1821.3549,279.88,3690.3867
24.412462,0.050293606,350.90744,1838.115,235.47,3868.7263
24.387966,0.049772095,352.26508,1825.3188,219.6,3836.5225
24.631844,0.05018384,353.26193,1824.4891,261.4,3336.358
24.888739,0.08567663,352.2053,1790.0522,311.2,3803.6758
25.08081,0.08634441,350.94525,1807.2303,352.2,3531.9973
25.1353,0.09043719,352.8793,1875.4187,355.23,3995.5315
24.869944,0.15437785,354.08487,1923.0583,371.76,4041.6597
24.70455,0.1818733,351.61295,1974.5415,388.28,4078.7449
24.51199,0.20100994,346.92505,2017.6708,404.81,4026.7134
24.36585,0.17130509,339.3002,2143.1326,421.34,4029.4866
24.355555,0.11924591,338.84,2210.172,437.87,4003.01
24.558578,0.0858259,337.75925,2191.777,590.74,4296.995
25.20344,0.07459747,333.53772,2238.7944,743.71,4341.564
25.953684,0.0804948,326.7185,2266.9355,896.79,4505.517
26.64541,0.14981344,322.37878,2285.8574,913.63,4339.2017
27.124037,0.115570284,319.92633,2284.5874,930.47,3538.3408
27.404585,0.12662508,313.61334,2300.0183,947.31,4619.5127
27.788687,0.0039036481,310.20834,2292.664,964.15,4723.268
28.201143,0.082305245,306.7259,2260.457,980.99,4154.988
28.716785,0.07837276,306.2996,2257.07,1027.68,4301.064
30.666758,0.077744104,302.89673,2270.9465,1104.23,4621.921
29.495592,0.07248331,296.9616,2231.326,1175.17,4314.6807
26.687527,0.33019033,392.62564,16254.9375,15154.3,2372.1423
26.938917,0.32165176,382.96,15140.333,15373.92,2059.9243
27.226986,0.31360212,389.54483,14367.337,15508.14,2010.1736
27.518698,0.3822307,396.07727,13668.224,15830.68,2434.2002
27.811161,0.3614603,403.796,12628.659,16237.54,2288.1511
28.105995,0.42485878,407.5812,11823.867,16758.94,2817.4866
28.43097,0.40214843,416.76727,11036.741,16853.5,2751.02
28.803978,0.3956544,417.05438,10365.673,16846.95,2080.732
29.202013,0.3288818,424.00903,9837.746,16959.42,2304.9587
29.604383,0.3442485,422.5887,9928.413,17472.83,3192.0374
29.992935,0.37179047,430.63028,9848.864,17382.68,3133.918
30.330196,0.49821118,439.776,9465.813,17509.77,2726.5833
30.6305,0.45218068,450.024,8989.671,17995.32,2224.6538
30.947464,0.53597146,449.22745,8480.61,18330.63,2403.454
31.331984,0.5211218,450.8047,7943.725,18010.9,2283.5164
31.786465,0.48833135,458.18088,7912.142,18303.97,2542.5928
32.315548,0.5449152,458.09695,7748.5806,18899.04,2647.345
32.95713,0.53352183,453.461,7555.243,19403.54,2639.249
33.700245,0.7055526,456.2997,7354.3525,20075.72,3102.207
34.493046,0.63929814,457.9945,7213.3633,19975.79,2979.4634
35.319126,0.65689665,454.57556,6983.4316,21311.11,2549.8733
36.233387,0.5545401,453.71783,6791.3774,21179.54,3417.3027
37.301926,0.50067556,456.03006,6433.6514,21608.02,2914.156
38.46697,0.5462704,455.55148,6036.7075,22374.11,3039.0842
39.666286,0.5077327,451.63293,5801.328,22111.62,2962.124
40.82037,0.41879332,454.489,5597.152,23250.65,2333.5708
41.931133,0.26254123,452.3091,5487.1104,21632.13,2759.9717
43.13097,0.09099766,440.00684,5312.058,21491.31,3328.346
44.393177,0.24093942,434.73215,5153.8306,21350.49,2642.907
45.598724,0.21928032,436.30396,5060.967,24878.97,2309.2795
47.597412,0.18601711,434.1413,4918.921,34715.34,2878.288
47.751217,0.17099167,423.95337,4750.216,37660.36,3117.8364
36.679966,2.398891,296.4498,5.491615,48.07,2824.6135
36.984676,3.0192418,295.49823,5.352057,48.07,2981.1812
37.399197,3.722258,294.75705,5.2381063,36.0,2553.15
37.920986,4.265603,293.44342,5.1450486,23.53,2642.8105
38.518738,3.6272008,292.32843,5.0685253,48.27,2580.0317
39.173767,2.8369644,290.71204,4.983244,44.18,2944.6333
40.013565,2.806189,288.60602,4.9065104,23.66,2831.1453
41.07777,3.227661,286.5109,4.8177223,29.78,2811.8955
42.26515,3.821616,283.81293,4.638913,12.05,2368.21
43.442467,3.8352587,281.82272,4.5564957,10.02,2531.956
44.47629,3.2230978,279.03378,4.388927,6.77,2482.832
45.53743,2.8628652,275.7209,4.221318,12.41,2913.851
46.7719,2.8243198,272.24115,4.0602083,18.05,2675.3423
48.04883,2.5267844,269.47348,3.9370284,23.68,3064.461
49.200195,2.4186194,266.1192,3.8357637,29.32,2677.3728
50.050705,2.388596,263.01794,3.7553322,34.96,2789.737
50.520718,2.7721207,259.59308,3.6758811,40.6,3522.278
50.682747,2.706876,257.1138,3.6151989,46.23,3206.393
50.699936,2.6352189,254.68289,3.558612,51.87,2737.605
50.669556,2.3095798,252.74837,3.613831,57.51,2426.577
50.82447,2.1847956,250.95634,3.694819,63.15,2726.8538
51.432,1.9796721,249.03772,3.773615,68.78,2450.9
52.305885,1.8747402,250.49077,3.8629477,74.42,3023.0457
53.272305,2.1859262,250.91872,3.9470224,80.06,2840.9102
54.139816,2.1268635,251.34521,4.0294294,85.7,2883.9565
54.6976,2.163841,251.72102,4.099973,91.33,2837.5781
54.91739,1.8552489,251.62048,4.1758094,96.97,2486.8333
54.985027,1.2553567,249.2058,4.184815,102.61,3368.9517
55.197323,1.7932631,246.14723,4.1979327,196.7,3290.7637
55.83869,1.7380704,242.7445,4.1980686,111.6,2903.5645
60.032135,1.672744,239.48624,4.2317386,185.14,3984.5696
57.251465,1.6399639,236.4416,4.2251472,272.15,2666.1006
24.97287,0.067559205,821.96094,74.35813,58.2,3461.7205
25.17444,0.068470255,830.6831,73.995544,58.2,3403.3252
25.442265,0.07617909,827.5377,71.888695,58.2,2939.8137
25.749584,0.07775168,825.2247,70.094986,58.2,3043.411
26.094814,0.075541385,819.601,68.00605,58.2,3354.8733
26.468483,0.06865717,805.2202,65.11663,58.2,3575.413
26.891607,0.08031461,798.33685,63.149044,55.38,3615.8706
27.427683,0.08453267,796.9606,61.49994,49.73,2570.9805
28.003792,0.06551994,786.7124,63.904144,41.26,3751.4207
28.564993,0.05151121,773.04095,63.728676,32.8,3646.3557
29.039164,0.019376809,771.3935,63.41,24.33,3734.043
29.44054,0.012788777,761.30566,62.374832,15.86,3746.3193
29.879004,0.019123038,760.09576,61.773952,14.29,3953.4363
30.301405,0.027346,757.44495,59.50908,20.29,3449.3948
30.676943,0.044568807,752.11127,56.94532,26.66,4205.74
30.953772,0.04199789,753.0106,56.655804,31.97,3674.5164
